,,PREFEITURA DO MUNICÍPIO DE MAUÁ,,,,,,,,,,,,,,,,,,,,,,
,  ,SECRETARIA DE GOVERNO,,,,,,,,,,,,,,,,,,,,,,
,,"COORDENADORIA DE LICITAÇÕES, MATERIAIS E PATRIMÔNIO ",,DATA:,13/05/25,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Acompanhamento de Processos de Compras,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
ITEM,PROCESSO,REQUISITANTE,OBJETO,MODALIDADE,PRIORIDADE,"DATA DE INÍCIO 
DO PROCESSO",DATA ENTRADA  NA CLMP,VALOR ESTIMADO,Fonte 0001 (TESOURO),Fonte 0002 (ESTADUAL),Fonte 0003 (FUNDO),Fonte 0005 (FEDERAL),Fonte 0007 (FINISA),Nº DO CERTAME,DATA PUBLICAÇÃO,DATA  ABERTURA,VALOR CONTRATADO,CONTRATO NÚMERO,VENCIMENTO,PROCESSO DE GERENCIAMENTO,STATUS,DATA,LOCAL,RESPONSÁVEL
1,9078/2024,SE,Aquisição de materiais de higiene – fraldas descartáveis,Pregão,Média,24/10/2024,29/10/2024,"R$ 6.717.011,38","R$ 6.717.011,38",-,-,-,-,PE RP 006/2025,27/02/2025,14/03/2025,,,,,Para prosseguimento após resposta ao recurso,13/05/2025,CLMP,Arina
2,6752/2024,SMA,Aquisição de ração para animais,Pregão,Alta,07/08/2024,20/09/2024,"R$ 482.043,83","R$ 482.043,83",-,-,-,-,PE RP 002/2025,11/02/2025,21/02/2025,"R$ 325.490,60",Ata 53/2025 e Ata 54/2025,16/04/2026,3063/2025 e 3064/2025,Finalizado – processo(s) de gerenciamento da ata encaminhado(s) à secretaria,24/04/2025,SMA,SMA
3,5552/2024,SS,Aquisição de materiais não permanentes – qualificar atendimento farmácias municipais,Pregão,Alta,25/06/2024,28/06/2024,"R$ 84.932,62",-,-,-,"R$ 84.932,62",-,PE RP 031/2024,18/09/2024,02/10/2024,,,,,Encaminhado para ratificação da pesquisa de preços,12/05/2025,SS,SS
4,4396/2024,SE,Locação de vans adaptadas,Pregão,Média,20/05/2024,04/09/2024,"R$ 8.378.981,28","R$ 8.378.981,28",-,-,-,-,,,,,,,,Encaminhado para emissão de parecer jurídico,06/05/2025,SAJ,SAJ
5,10478/2024,SS,Aquisição de material de enfermagem – cânulas,Pregão,Alta,05/12/2024,27/12/2024,"R$ 13.989,10","R$ 13.989,10",-,-,-,-,,,,,,,,Encaminhado para emissão de parecer jurídico,12/05/2025,SAJ,SAJ
6,6002/2024,SMA,Contratação de empresa para prestação de serviço – seguro de veículos,Pregão,Baixa,15/07/2024,03/01/2025,,,,,,,,,,,,,,Para pesquisa de preços,10/04/2025,CLMP,Carla
7,8957/2024,SS,Aquisição de materiais de enfermagem – fraldas,Pregão,Média,21/10/2024,14/11/2024,"R$ 1.391.376,49","R$ 1.391.376,49",-,-,-,-,PE RP 009/2025,20/03/2025,01/04/2025,"R$ 408.325,00",,,,Para formalização de contrato/ ata,05/05/2025,CLMP,Iara
8,2125/2025,SG,Aquisição de materiais de limpeza,Pregão,Alta,24/03/2025,24/03/2025,"R$ 4.878.600,50","R$ 4.878.600,50",-,-,-,-,PE RP 012/2025,N/A,N/A,N/A,N/A,N/A,N/A,Para AUDESP (licitação anulada),07/05/2025,CLMP,Maria
9,2134/2025,SG,Contratação de empresa para prestação de serviço – publicidade legal PRODESP,Dispensa,Baixa,24/03/2025,25/03/2025,"R$ 720.000,00","R$ 720.000,00",-,-,-,-,N/A,N/A,N/A,"R$ 720.000,00",,,,Para prosseguimento após ratificação do Prefeito,12/05/2025,CLMP,Angela
10,10475/2024,SS,Aquisição de materiais de enfermagem para vias aéreas,Pregão,Alta,05/12/2024,24/02/2025,"R$ 95.686,04",-,-,-,"R$ 95.686,04",-,,,,,,,,Para prosseguimento após análise orçamentária,08/05/2025,CLMP,Arina
11,446/2025,SS,Aquisição de medicamentos e materiais para atendimento de demanda judiciais,Pregão,Alta,17/01/2025,19/02/2025,,,,,,,,,,,,,,Para análise após adequações,16/04/2025,CLMP,Arina
12,1034/2025,SSP,Locação de veículos adaptados viaturas,Pregão,Alta,11/02/2025,25/02/2025,"R$ 18.403.200,00","R$ 18.403.200,00",-,-,-,-,PE 021/2025,25/04/2025,14/05/2025,,,,,Aguardando abertura da licitação,25/04/2025,CLMP,Arina
13,1278/2025,SEL,Contratação de empresa – laudo de vistoria de engenharia do estádio municipal,Pregão,Baixa,21/02/2025,06/03/2025,,,,,,,,,,,,,,Encaminhado para ratificação da pesquisa de preços,13/05/2025,SEL,SEL
14,1279/2025,SEL,Aquisição de produtos químicos para tratamento de piscinas dos próprios municipais,Pregão,Baixa,20/02/2025,06/03/2025,,,,,,,,,,,,,,Para pesquisa de preços,07/05/2025,CLMP,Mariane
15,7396/2024,SAM,Contratação de empresa – avaliação e levantamento - segurança e saúde do trabalho,Dispensa,Média,30/08/2024,01/10/2024,"R$ 57.562,40","R$ 57.562,40",-,-,-,-,DE 024/2024,17/12/2024,08/01/2025,"R$ 35.000,00",Contrato 008/2025,26/09/2025,7396/2024,Finalizado – processo encaminhado à secretaria para gerenciamento do contrato,03/04/2025,SAM,SAM
16,4604/2024,SSU,Aquisição de grelhas – manutenção e zeladoria do município,Pregão,Baixa,23/05/2024,01/07/2024,"R$ 2.475.030,00","R$ 2.475.030,00",-,-,-,-,PE RP 057/2024,25/10/2024,21/11/2024,"R$ 2.416.500,00",Ata 46/2025 e Ata 47/2025,30/03/2026,2611/2025 e 2612/2025,Finalizado – processo(s) de gerenciamento da ata encaminhado(s) à secretaria,09/04/2025,SSU,SSU
17,5556/2024,SSAN,Aquisição de gêneros alimentícios – alimentos para fins específicos,Pregão,Alta,26/06/2024,11/09/2024,"R$ 303.868,68","R$ 303.868,68",-,-,-,-,PE RP 070/2024,05/12/2024,19/12/2024,"R$ 303.637,78",Ata 050/2025,06/04/2026,2621/2025,Finalizado – processo(s) de gerenciamento da ata encaminhado(s) à secretaria,11/04/2025,SSAN,SSAN
18,169/2025,SG,Contratação de empresa especializada - links de internet de alta disponibilidade,Pregão,Alta,09/01/2025,13/03/2024,"R$ 519.900,00","R$ 519.900,00",-,-,-,-,,,,,,,,Para análise após adequações,12/05/2024,CLMP,Nilva
19,1749/2025,SF,Contratação de empresa – licença de uso de software específico,Pregão,Alta,11/03/2025,19/03/2025,,,,,,,,,,,,,,Encaminhado para ratificação da pesquisa de preços,30/04/2025,SF,SF
20,9903/2024,SS,Aquisição de tira reagentes,Pregão,Alta,27/11/2024,02/12/2024,"R$ 3.250.260,00",-,"R$ 3.250.260,00",-,-,-,PE RP 001/2024,10/02/2025,21/02/2025,"R$ 1.203.800,00",Ata 044/2025,24/03/2026,2668/2025,Finalizado – processo(s) de gerenciamento da ata encaminhado(s) à secretaria,11/04/2025,SS,SS
